epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,795.876,0.66507,0.31754,0.8716,0.26999,0.71282,0.35963,0.29741,0.6897,0.4403,0.90777,0.000724518,0.000724518,0.000724518
43,814.82,0.66207,0.31319,0.87525,0.35235,0.41163,0.36321,0.30406,0.67644,0.4153,0.90531,0.000720019,0.000720019,0.000720019
44,833.694,0.65756,0.31448,0.87383,0.36685,0.49105,0.38244,0.31516,0.7056,0.41297,0.91601,0.000715519,0.000715519,0.000715519
45,852.647,0.66086,0.31479,0.87495,0.35918,0.39264,0.37307,0.31317,0.66516,0.41311,0.90334,0.00071102,0.00071102,0.00071102
46,871.408,0.66071,0.31463,0.87723,0.33595,0.39081,0.3481,0.28896,0.69422,0.46083,0.91074,0.00070652,0.00070652,0.00070652
47,890.62,0.65766,0.31371,0.87119,0.25541,0.63304,0.3353,0.27811,0.66919,0.43717,0.90139,0.000702021,0.000702021,0.000702021
48,910.032,0.65686,0.31278,0.8733,0.27155,0.71675,0.3596,0.29414,0.70908,0.437,0.91653,0.000697521,0.000697521,0.000697521
49,929.227,0.65373,0.3096,0.87642,0.34647,0.45983,0.36368,0.30211,0.69928,0.4265,0.91058,0.000693022,0.000693022,0.000693022
50,948.473,0.64865,0.30654,0.86968,0.26498,0.67419,0.3284,0.26571,0.6953,0.44634,0.91213,0.000688522,0.000688522,0.000688522
51,967.767,0.65984,0.31156,0.87247,0.39823,0.38688,0.37059,0.30532,0.68691,0.41639,0.90831,0.000684022,0.000684022,0.000684022
52,986.732,0.6507,0.30578,0.87031,0.26717,0.65192,0.35488,0.29429,0.68635,0.4375,0.90705,0.000679523,0.000679523,0.000679523
53,1005.21,0.64853,0.30662,0.87089,0.33427,0.61443,0.36249,0.30317,0.6913,0.42123,0.912,0.000675023,0.000675023,0.000675023
54,1023.81,0.6505,0.30663,0.87174,0.33773,0.36244,0.34809,0.2872,0.69882,0.43181,0.91233,0.000670524,0.000670524,0.000670524
55,1042.43,0.6544,0.30868,0.87021,0.2819,0.72821,0.36626,0.29796,0.6975,0.43763,0.91211,0.000666024,0.000666024,0.000666024
56,1061.29,0.6449,0.30262,0.86975,0.27648,0.57588,0.3454,0.28609,0.69505,0.45042,0.91218,0.000661525,0.000661525,0.000661525
57,1080.05,0.6479,0.30659,0.86955,0.34062,0.40261,0.36509,0.30159,0.69735,0.42995,0.91208,0.000657025,0.000657025,0.000657025
58,1098.98,0.65006,0.30547,0.8709,0.36289,0.45328,0.37604,0.31054,0.69144,0.42279,0.91394,0.000652526,0.000652526,0.000652526
59,1118,0.64618,0.30459,0.86681,0.34117,0.52235,0.36919,0.30179,0.69953,0.43267,0.91437,0.000648026,0.000648026,0.000648026
60,1136.81,0.64155,0.30165,0.86843,0.28496,0.65407,0.36983,0.30611,0.68819,0.42773,0.90953,0.000643527,0.000643527,0.000643527
61,1155.56,0.64605,0.30321,0.86883,0.26649,0.65335,0.3361,0.27793,0.68687,0.44268,0.91066,0.000639027,0.000639027,0.000639027
62,1174,0.64167,0.29873,0.86989,0.26556,0.59865,0.33762,0.28268,0.69095,0.43776,0.90845,0.000634527,0.000634527,0.000634527
63,1192.76,0.63508,0.29421,0.86636,0.39044,0.4365,0.37175,0.30059,0.67922,0.42411,0.90598,0.000630028,0.000630028,0.000630028
64,1211.85,0.63969,0.3003,0.86572,0.35086,0.37842,0.3907,0.31216,0.7107,0.41143,0.91725,0.000625528,0.000625528,0.000625528
65,1230.83,0.6345,0.29777,0.86436,0.36706,0.47346,0.36827,0.29473,0.67148,0.43705,0.90145,0.000621029,0.000621029,0.000621029
66,1249.65,0.63166,0.29325,0.86334,0.28,0.60138,0.3539,0.28662,0.70924,0.44146,0.91917,0.000616529,0.000616529,0.000616529
67,1268.8,0.6377,0.29889,0.86518,0.54635,0.36652,0.35875,0.28969,0.67912,0.42637,0.90649,0.00061203,0.00061203,0.00061203
68,1287.8,0.6317,0.29494,0.86567,0.34381,0.4572,0.34953,0.28554,0.68564,0.45592,0.90811,0.00060753,0.00060753,0.00060753
69,1307.18,0.63295,0.29672,0.86599,0.38133,0.3448,0.35852,0.2857,0.68074,0.44508,0.90704,0.000603031,0.000603031,0.000603031
70,1326.32,0.63169,0.29439,0.86357,0.38108,0.32665,0.34384,0.27868,0.68693,0.45445,0.91001,0.000598531,0.000598531,0.000598531
71,1345.62,0.63119,0.29495,0.86149,0.26492,0.61139,0.3487,0.2822,0.6951,0.47589,0.91638,0.000594031,0.000594031,0.000594031
72,1364.66,0.62739,0.29294,0.86479,0.29386,0.53937,0.34592,0.27983,0.70972,0.46427,0.91897,0.000589532,0.000589532,0.000589532
73,1383.55,0.63229,0.29482,0.86683,0.26159,0.50664,0.3304,0.26644,0.69214,0.46636,0.90992,0.000585032,0.000585032,0.000585032
74,1402.41,0.63242,0.29423,0.86407,0.27718,0.43629,0.31352,0.24789,0.71982,0.49983,0.92436,0.000580533,0.000580533,0.000580533
